Framework,Framework_ID,crypto_assets_raw,crypto_assets_mapped,crypto_agility_raw,crypto_agility_mapped,migration_planning_raw,migration_planning_mapped,risk_management_raw,risk_management_mapped,standards_compliance_raw,standards_compliance_mapped
ANSSI views on the Post-Quantum Cryptography transition.pdf,001,0.3854,2.59,0.3283,2.08,0.2733,1.58,0.2331,1.21,0.663,5.0
ASC-X9F-IR-01-2025-Post-Quantum-Cryptography-Financial-Readiness-Needs-Assessment-Informative-Report-Final-1.pdf,002,0.5158,3.78,0.3559,2.33,0.5143,3.77,0.3512,2.28,0.4787,3.44
CSA_CNSA_2.0_ALGORITHMS.PDF,Unknown,0.3867,2.61,0.2407,1.28,0.5132,3.76,0.256,1.42,0.6564,5.0
CSI_CNSA_2.0_FAQ_.PDF,Unknown,0.2921,1.75,0.2905,1.73,0.3979,2.71,0.2432,1.3,0.6726,5.0
ENISA Report - Post-Quantum Cryptography Current state and quantum mitigation-V2.pdf,003,0.3164,1.97,0.2552,1.41,0.334,2.13,0.3121,1.93,0.655,5.0
EN_Position.pdf,004,0.3876,2.61,0.3282,2.07,0.4431,3.12,0.2956,1.78,0.4637,3.31
MIGRATION TO POST-QUANTUM CRYPTOGRAPHY.pdf,006,0.4785,3.44,0.3544,2.31,0.4399,3.09,0.3347,2.13,0.3699,2.45
POST-QUANTUM CRYPTOGRAPHY READINESS IN U.S. COMMUNITY BANKS AND FINANCIAL SMES: A CYBERSECURITY RISK ASSESSMENT FRAMEWORK.pdf,007,0.3724,2.48,0.2691,1.54,0.5199,3.82,0.4517,3.2,0.3298,2.09
PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,008,0.4439,3.13,0.3609,2.37,0.4157,2.87,0.3428,2.21,0.5056,3.69
Post-Quantum Cryptography (PQC) Network Instrument: Measuring PQC Adoption Rates and Identifying Migration Pathways.pdf,009,0.3811,2.56,0.2849,1.68,0.2902,1.73,0.2351,1.23,0.4813,3.47
Practical Preparations for the Post-Quantum World.pdf,010,0.5526,4.11,0.3086,1.9,0.4168,2.88,0.3368,2.15,0.3494,2.27
Preparing for Quantum-Safe Cryptography.pdf,011,0.4249,2.95,0.2806,1.64,0.3504,2.28,0.2886,1.71,0.3738,2.49
Product Categories for Technologies That Use Post-Quantum Cryptography Standards _ CISA.pdf,012,0.4557,3.23,0.2574,1.43,0.4051,2.77,0.2512,1.37,0.4268,2.97
QUANTUM COMPUTING IN FINANCE: A STRATEGIC ROADMAP FOR INVESTORS AND BANKS.pdf,013,0.3179,1.98,0.2709,1.55,0.6031,4.57,0.3461,2.24,0.3021,1.84
QUANTUM READINESS INDEX.pdf,014,0.4331,3.03,0.3844,2.59,0.6544,5.0,0.5263,3.88,0.2917,1.74
QUANTUM-SAFE MIGRATION HANDBOOK.pdf,015,0.5172,3.79,0.3806,2.55,0.5555,4.14,0.4272,2.97,0.4206,2.91
Quantum Computing Cybersecurity Preparedness Act.pdf,016,0.3641,2.4,0.2699,1.54,0.5227,3.84,0.2275,1.16,0.2559,1.42
Quantum Readiness in Cryptography: A Maturity-Based Framework for Post- Quantum Transition.pdf,017,0.5044,3.68,0.4054,2.78,0.6035,4.58,0.4207,2.92,0.6296,4.81
Quantum Readiness: Unlocking the Quantum Advantage for Australian Industries.pdf,018,0.2189,1.08,0.2415,1.29,0.6406,4.91,0.3628,2.39,0.2682,1.53
Quantum computing and the financial system- opportunities and risks.pdf,019,0.3168,1.97,0.2967,1.79,0.3213,2.01,0.354,2.31,0.2101,1.0
Transitioning organizations to post-quantum cryptography.pdf,020,0.3641,2.4,0.3803,2.55,0.4166,2.88,0.293,1.75,0.5027,3.66
WEF_Quantum_Readiness_Toolkit_2023.pdf,021,0.2965,1.79,0.3703,2.46,0.5594,4.18,0.4846,3.5,0.2059,0.96
WEF_Transitioning to_a_Quantum_Secure_Economy_2022.pdf,022,0.3593,2.36,0.3245,2.04,0.528,3.89,0.377,2.52,0.268,1.53
draft-ietf-pquip-pqc-engineers-14 - Post-Quantum Cryptography for Engineers.pdf,023,0.438,3.07,0.3956,2.69,0.3011,1.83,0.2607,1.46,0.6022,4.57
itsm.40.001-migration-post-quantum-cryptography-government-canada-e.pdf,024,0.4854,3.5,0.2796,1.63,0.6497,5.0,0.3404,2.19,0.2437,1.31
pdf-quantum-threat-timeline-report-2025.pdf,025,0.2501,1.36,0.276,1.6,0.3758,2.51,0.5017,3.65,0.2655,1.5
pqc-migration-nist-sp-1800-38b-preliminary-draft.pdf,026,0.5578,4.16,0.3369,2.15,0.3995,2.72,0.3668,2.43,0.3887,2.62
preparing-for-quantum-safe-cryptography.pdf,027,0.4249,2.95,0.2806,1.64,0.3504,2.28,0.2886,1.71,0.3738,2.49
quantum-safe-cryptography.pdf,028,0.3964,2.69,0.3306,2.1,0.2976,1.8,0.2716,1.56,0.4634,3.3
tr_103619v010101p.pdf,029,0.6536,5.0,0.3684,2.44,0.5536,4.12,0.2962,1.78,0.5781,4.35
